"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1807","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","16.119762","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","14","14","1","235.753525","0","14"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","27.250006","0","2"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","19.008553","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","4","1","57.669720","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","3.699520","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","4.490258","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","17","17","1","74.361954","0","17"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","21","28","28","1","133.911514","0","28"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","24","24","1","119.042747","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","72","72","1","377.039215","0","72"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","6.652263","0","4"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","4","1","7.328275","0","4"
"/OculusXR/Materials/M_FloorMask.M_FloorMask","21","2","2","1","2.625079","0","2"
"/OculusXR/Materials/M_SceneObjectMask.M_SceneObjectMask","21","2","2","1","2.729430","0","2"
"/OculusXR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","2.714442","0","2"
"/OculusXR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","3.744669","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","24","2","52.747002","0","24"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","21","28","28","1","152.811768","0","28"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","21","36","36","1","225.403458","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","21","28","28","1","136.938675","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","8","1","14.157499","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","1.218463","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","24","24","1","123.386810","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","3.722455","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","12","12","1","68.575203","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","4.120268","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","7","7","1","5.666357","0","7"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","36","36","1","238.145203","0","36"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","36","36","1","204.143860","0","36"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","24","24","1","135.093628","0","24"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","4","4","1","15.655271","0","4"
"/OculusXR/Materials/RightMetaQuestTouchPlusMaterial.RightMetaQuestTouchPlusMaterial","21","12","12","1","82.365913","0","12"
"/OculusXR/Materials/LeftMetaQuestTouchPlusMaterial.LeftMetaQuestTouchPlusMaterial","21","12","12","1","0.000000","0","12"
"/OculusXR/Materials/RightMetaQuestTouchProMaterial.RightMetaQuestTouchProMaterial","21","12","12","1","63.333679","0","12"
"/OculusXR/Materials/LeftMetaQuestTouchProMaterial.LeftMetaQuestTouchProMaterial","21","12","12","1","0.000000","0","12"
"/OculusXR/Materials/TouchForQuest2Material.TouchForQuest2Material","21","12","12","1","67.337021","0","12"
"/OculusXR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","12","12","1","64.756599","0","12"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","60","60","1","152.889008","0","60"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","4","1","8.878253","0","4"
"/ControlRig/M_Manip.M_Manip","21","4","4","1","11.092789","0","4"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","2.700608","0","2"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","12","12","1","64.497162","0","12"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","10","1","30.837133","0","10"
"/OpenXR/Devices/M_XRController.M_XRController","21","36","36","3","207.616638","0","36"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","26","6","33.478210","0","26"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","4","1","10.345915","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","2","2","1","3.094113","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","2","2","1","3.097646","0","2"
"/Game/WhiteBoard/M_MarkerBlue.M_MarkerBlue","21","2","2","1","3.944175","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","3.846805","0","2"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","21","12","12","1","12.735444","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","21","18","18","1","22.099051","0","18"
